frame,seq,t_mono,x,y,contrast,moat,crowd
887,887,348.115487,834,649,109,68,2
889,889,348.195373,846,635,52,12,3
890,890,348.235364,850,629,83,39,4
891,891,348.275408,852,625,139,103,4
892,892,348.315286,853,619,121,73,5
893,893,348.355417,853,613,104,54,3
894,894,348.395278,854,609,143,103,3
895,895,348.435272,851,602,79,2,4
896,896,348.475264,843,602,53,24,5
899,899,348.595180,808,616,55,30,2
900,900,348.635199,797,620,86,68,3
901,901,348.675185,787,622,81,50,2
902,902,348.715176,781,623,98,76,7
903,903,348.755171,776,625,148,118,3
904,904,348.795276,773,626,198,151,4
905,905,348.835330,774,626,160,115,3
906,906,348.875244,780,624,86,44,3
907,907,348.915202,785,623,130,96,3
908,908,348.955174,786,621,178,133,4
909,909,348.994942,783,621,130,76,4
910,910,349.034923,782,622,163,113,4
911,911,349.074928,785,622,175,119,3
912,912,349.115013,786,623,181,144,4
913,913,349.154987,786,621,196,160,4
914,914,349.195061,786,620,153,92,5
915,915,349.235246,789,618,147,113,2
916,916,349.274956,793,613,80,46,2
917,917,349.314853,801,606,93,66,2
918,918,349.354853,805,602,134,89,4
919,919,349.394881,807,600,114,76,4
920,920,349.434857,809,598,199,120,2
921,921,349.474841,811,595,124,86,3
922,922,349.514836,813,591,92,26,5
923,923,349.554882,813,588,138,78,3
924,924,349.594974,809,588,149,103,5
926,926,349.674755,793,589,62,29,3
927,927,349.714776,786,588,111,85,2
928,928,349.754863,780,585,113,87,2
929,929,349.794873,775,582,102,63,2
930,930,349.834838,771,580,135,96,3
931,931,349.874895,765,582,155,120,4
932,932,349.914777,764,582,169,125,3
933,933,349.954760,764,582,173,127,2
934,934,349.994788,764,580,182,141,2
935,935,350.034620,763,580,168,111,3
936,936,350.074603,761,580,171,132,3
937,937,350.114765,761,578,179,132,4
938,938,350.154512,758,576,153,113,4
939,939,350.194591,755,576,179,140,2
940,940,350.234656,751,576,178,152,3
941,941,350.274543,749,574,200,154,2
942,942,350.314622,749,572,154,109,3
943,943,350.354385,750,570,153,106,3
944,944,350.394360,751,568,199,127,3
945,945,350.434374,751,566,143,83,4
946,946,350.474389,750,566,172,113,1
947,947,350.514401,753,564,180,142,3
948,948,350.554478,755,562,141,96,3
949,949,350.594370,758,559,163,121,2
950,950,350.634384,758,556,175,125,1
951,951,350.674300,759,551,121,52,1
952,952,350.714303,760,548,176,128,2
953,953,350.754296,761,545,145,72,5
954,954,350.794275,764,543,159,94,2
955,955,350.834303,767,540,167,115,2
956,956,350.874420,765,538,98,26,2
957,957,350.914285,764,535,134,80,3
958,958,350.954271,767,532,134,91,3
959,959,350.994159,771,530,187,128,3
960,960,351.034349,774,528,177,132,2
961,961,351.074191,773,525,149,92,4
962,962,351.114372,774,523,151,76,3
963,963,351.154302,775,521,148,98,2
964,964,351.194302,777,520,187,123,3
965,965,351.234054,777,519,154,102,4
966,966,351.274056,775,517,157,107,6
967,967,351.313949,774,518,189,155,2
968,968,351.354050,772,518,168,130,4
969,969,351.394289,773,518,177,142,2
970,970,351.434124,774,521,172,113,1
971,971,351.474319,772,524,128,83,4
972,972,351.514051,771,526,190,150,4
973,973,351.553988,772,529,166,82,1
974,974,351.594096,775,534,104,58,3
975,975,351.633977,780,538,124,67,1
976,976,351.674096,783,541,177,111,3
977,977,351.715921,788,543,134,84,2
978,978,351.753953,791,544,142,95,4
979,979,351.793972,793,546,172,119,2
980,980,351.833954,799,548,113,59,4
981,981,351.873859,805,550,81,44,4
982,982,351.913982,811,550,167,112,4
983,983,351.954028,817,548,83,45,2
986,986,352.073995,855,548,80,58,2
989,989,352.193758,883,550,108,73,2
990,990,352.235915,889,552,100,74,3
991,991,352.273742,893,552,91,65,2
992,992,352.313736,901,552,54,18,3
993,993,352.353908,909,552,54,21,3
994,994,352.393644,913,552,126,74,2
995,995,352.433760,917,553,101,56,2
996,996,352.473928,919,556,125,81,2
997,997,352.513771,922,560,84,18,5
998,998,352.553655,923,564,95,39,2
999,999,352.593649,923,564,156,100,2
1000,1000,352.633646,922,566,100,55,4
1001,1001,352.673632,919,564,98,50,4
1002,1002,352.713813,916,563,110,81,3
1003,1003,352.753818,914,564,118,86,3
1004,1004,352.793832,914,566,108,52,2
1005,1005,352.833667,915,567,107,62,4
1006,1006,352.873779,913,565,73,47,3
1007,1007,352.913547,914,561,85,34,3
